,Name,Company,BatteryCapacity[kWh],Acceleration[sec],TopSpeed[km/h],Range[km],Efficiency[Wh/km],FastChargeSpeed[km/h],Drive_Class,PriceinGermany[€],PriceinUK[£]
79,Nissan Leaf ,Nissan,36.0,7.9,144,220,164,230,Front,29990,25995
80,Hyundai Kona Electric 64 kWh,Hyundai,64.0,7.9,167,395,162,370,Front,41850,32550
81,Volkswagen ID.3 Pro S,Volkswagen,77.0,7.9,160,450,171,550,Rear,41995,38800
82,Renault Megane E-Tech Electric,Renault,60.0,8.0,160,335,179,480,Front,38000,32500
83,Peugeot e-208 ,Peugeot,45.0,8.1,150,275,164,370,Front,30450,27225
84,Opel Corsa-e ,Opel,45.0,8.1,150,275,164,370,Front,29000,27140
85,MG ZS EV,MG,42.5,8.2,140,220,193,260,Front,31990,25995
86,Honda e Advance,Honda,28.5,8.3,145,170,168,190,Rear,38000,30160
87,Volkswagen ID.4 Pro Performance,Volkswagen,77.0,8.5,160,410,188,500,Rear,44450,41570
88,Peugeot e-2008 SUV ,Peugeot,45.0,8.5,150,250,180,330,Front,35450,30730
89,Hyundai IONIQ 5 Standard Range 2WD,Hyundai,58.0,8.5,185,310,187,720,Rear,41900,36995
90,Kia EV6 Standard Range 2WD,Kia,58.0,8.5,185,320,181,740,Rear,44990,40985
91,Audi Q4 e-tron 40,Audi,76.6,8.5,160,405,189,500,Rear,47500,44990
92,Opel Mokka-e ,Opel,45.0,8.5,150,255,176,340,Front,34110,30540
93,Skoda Enyaq iV 80,Skoda,77.0,8.6,160,420,183,510,Rear,43950,39350
94,DS 3 Crossback E-Tense,DS,45.0,8.7,150,250,180,330,Front,30040,31500
95,Skoda Enyaq iV 60,Skoda,58.0,8.7,160,330,176,420,Rear,38850,31995
96,Volkswagen ID.3 Pure Performance,Volkswagen,45.0,8.9,160,275,164,260,Rear,31960,27120
97,Mercedes EQA 250,Mercedes,66.5,8.9,160,355,187,420,Front,47541,43495
98,CUPRA Born 110 kW - 55 kWh,CUPRA,45.0,8.9,160,275,164,440,Rear,32700,28500
99,Fiat 500e Hatchback 42 kWh,Fiat,37.3,9.0,150,250,149,420,Front,27560,23995
100,Audi Q4 Sportback e-tron 35,Audi,51.5,9.0,160,295,175,410,Rear,43900,42250
101,Volkswagen ID.4 Pure Performance,Volkswagen,52.0,9.0,160,285,182,410,Rear,38450,36030
102,Honda e ,Honda,28.5,9.0,145,170,168,190,Rear,33850,27660
103,Audi Q4 e-tron 35,Audi,51.5,9.0,160,280,184,390,Rear,41900,40750
104,Fiat 500e Cabrio,Fiat,37.3,9.0,150,245,152,410,Front,30560,26645
105,Fiat 500e Hatchback 24 kWh,Fiat,23.8,9.5,135,165,144,260,Front,23560,20495
106,Renault Zoe ZE50 R135,Renault,52.0,9.5,140,310,168,230,Front,33990,28795
107,Volkswagen ID.3 Pro,Volkswagen,58.0,9.6,160,350,166,440,Rear,34995,28420
108,Citroen e-C4 ,Citroen,45.0,9.7,150,250,180,330,Front,34640,30895
109,Hyundai IONIQ Electric,Hyundai,38.3,9.7,165,250,153,220,Front,35350,30550
110,Mazda MX-30 ,Mazda,30.0,9.7,140,170,176,180,Front,34490,26045
111,Kia e-Niro 39 kWh,Kia,39.2,9.8,155,235,167,230,Front,35290,30345
112,Hyundai Kona Electric 39 kWh,Hyundai,39.2,9.9,155,250,157,210,Front,35650,27950
113,Volkswagen ID.4 Pure,Volkswagen,52.0,10.9,160,285,182,410,Rear,36950,32150
114,Renault Zoe ZE50 R110,Renault,52.0,11.4,135,315,165,230,Front,31990,26795
115,Peugeot e-Rifter Standard 50 kWh,Peugeot,45.0,11.7,135,200,225,270,Front,37590,30375
116,Peugeot e-Rifter Long 50 kWh,Peugeot,45.0,11.7,135,195,231,260,Front,42590,32455
117,Citroen e-SpaceTourer M 50 kWh,Citroen,45.0,12.1,130,185,243,250,Front,51440,31995
118,Opel Zafira-e Life L 50 kWh,Opel,45.0,12.1,130,180,250,240,Front,54625,49465
119,Mercedes EQV 300 Long,Mercedes,90.0,12.1,160,320,281,280,Front,71388,70665
120,Peugeot e-Traveller Standard 50 kWh,Peugeot,45.0,13.1,130,185,243,250,Front,55900,49065
121,Peugeot e-Traveller Long 50 kWh,Peugeot,45.0,13.1,130,185,243,250,Front,56690,49905
122,Nissan e-NV200 Evalia ,Nissan,36.0,14.0,123,165,218,170,Front,43433,30255
